74,166,57
67,176,71
254,162,60
205,156,52
488,167,61
170,166,62
313,168,54
478,168,71
221,165,68
98,170,61
161,169,62
459,166,71
39,164,70
446,176,77
222,167,62
402,179,63
26,163,59
127,163,58
234,167,66
377,170,73
80,163,58
366,157,53
256,164,65
267,180,73
413,171,64
207,174,79
159,161,51
264,166,67
57,165,64
9,156,54
129,161,66
414,169,59
356,156,54
447,164,60
172,169,64
20,155,61
472,169,65
8,170,68
107,167,59
241,176,62
384,176,78
4,175,66
69,169,75
42,183,73
385,161,56
55,171,67
11,169,56
204,160,59
85,176,65
103,166,63
156,172,67
387,159,57
50,178,69
81,169,67
371,165,63
323,173,63
332,173,65
296,170,75
105,162,66
149,161,56
316,172,73
491,161,60
54,175,80
386,171,70
360,166,55
354,168,60
238,167,60
380,169,61
145,172,64
399,164,60
1,169,68
307,167,59
175,178,80
458,176,70
5,159,60
163,170,61
277,170,60
189,169,67
240,169,74
265,172,64
99,169,68
73,178,73
16,170,61
255,164,61
112,174,69
410,165,61
466,181,77
96,173,69
113,168,58
328,159,54
47,173,67
77,163,63
220,173,71
274,171,67
40,167,63
308,167,61
372,160,61
22,176,75
43,163,63
223,172,66
106,190,80
493,169,66
66,160,62
201,172,73
275,169,70
158,173,77
224,176,72
336,169,64
362,167,63
162,161,52
97,170,61
21,174,66
288,169,70
251,164,56
257,164,66
152,167,68
279,167,65
479,168,67
86,163,57
439,179,78
368,166,60
203,167,64
271,172,68
395,187,63
396,174,66
94,165,62
305,171,72
341,169,66
12,164,66
128,179,69
492,166,64
407,155,51
173,169,57
87,179,80
441,166,57
29,161,60
140,169,62
59,163,67
70,163,63
453,157,59
487,170,62
448,168,63
108,160,62
232,171,65
95,167,64
456,148,48
82,164,70
225,174,74
147,163,65
101,177,68
460,169,62
124,167,59
13,171,66
369,157,56
438,167,57
464,159,48
184,171,69
337,175,59
153,164,63
365,160,50
206,161,61
391,169,62
154,173,70
213,167,59
284,178,80
88,176,67
327,161,62
226,171,70
476,174,74
297,173,66
383,178,66
437,163,54
157,167,70
233,166,51
363,171,60
231,176,70
28,172,70
435,179,71
136,171,62
309,169,64
130,162,55
270,168,68
6,167,60
199,175,67
322,168,62
434,176,67
197,164,59
268,164,61
303,162,54
455,161,55
373,166,62
208,167,61
100,164,59
190,167,61
123,165,60
34,162,55
58,164,60
325,165,57
465,164,53
109,165,76
