168,73
169,68
156,56
171,75
175,66
159,60
167,60
169,68
170,68
156,54
168,62
169,56
164,66
171,66
174,64
176,81
170,61
173,69
171,62
196,60
155,61
174,66
176,75
176,60
172,70
172,67
163,59
187,84
172,70
161,60
176,70
164,60
166,63
168,55
162,55
163,65
172,65
175,64
156,54
164,70
167,63
177,67
183,73
163,63
172,69
172,60
172,63
173,67
163,66
166,57
178,69
169,75
171,60
165,63
175,80
171,67
186,71
165,64
164,60
163,67
173,69
173,66
177,72
173,75
156,53
172,59
160,62
176,71
171,66
169,75
163,63
163,72
172,74
178,73
166,57
164,59
171,69
163,63
163,58
182,76
163,58
169,67
164,70
164,62
170,67
176,65
163,57
179,80
176,67
182,66
169,73
159,68
169,62
165,61
165,62
167,64
173,69
170,61
170,61
169,68
164,59
177,68
173,64
166,63
161,66
162,66
190,80
167,59
160,62
165,76
156,59
157,60
174,69
168,58
176,72
170,65
173,69
168,61
164,57
164,56
172,63
173,64
173,78
165,60
167,59
173,72
184,68
163,58
179,69
161,66
162,55
158,57
171,57
177,60
164,53
166,62
171,62
174,73
170,61
174,73
169,62
174,70
169,71
175,67
167,63
172,64
168,63
163,65
168,67
161,56
173,66
164,62
167,68
164,63
173,70
176,65
172,67
167,70
173,77
161,51
171,76
169,62
161,52
170,61
174,68
168,63
164,64
170,66
164,60
162,60
166,62
172,67
169,64
169,57
163,65
178,80
166,55
168,59
168,64
180,69
163,60
165,62
163,64
158,61
171,69
175,74
170,69
165,69
184,72
169,67
167,61
167,65
179,69
165,59
173,69
161,60
166,67
164,59
159,55
175,67
169,68
172,73
172,64
167,64
160,59
156,52
161,61
174,79
167,61
174,66
167,56
168,50
168,58
167,59
167,68
171,72
168,66
162,64
174,67
173,68
173,71
165,68
167,62
172,66
176,72
174,74
171,70
169,62
161,56
173,69
170,74
176,70
171,65
166,51
167,66
156,58
167,55
166,62
167,60
173,63
169,74
176,62
168,65
163,68
169,55
164,61
164,60
170,63
172,72
166,57
163,65
164,56
166,62
175,64
162,60
164,61
164,65
164,66
167,64
170,58
161,57
174,74
165,69
171,60
166,67
172,64
170,61
180,73
164,61
184,84
168,68
172,68
165,63
176,70
171,67
169,70
171,63
170,60
164,57
167,65
164,62
165,60
162,53
164,61
178,80
159,55
171,65
169,63
169,70
178,75
180,65
167,57
164,60
170,61
165,60
181,68
170,75
173,66
182,75
166,67
163,58
165,57
180,75
162,54
171,73
171,72
161,59
167,59
167,61
169,64
178,72
164,65
171,70
168,54
177,78
161,55
172,73
154,52
170,65
167,55
162,52
168,64
168,62
173,63
162,65
165,57
171,64
161,62
159,54
163,63
163,61
170,76
173,65
173,69
170,66
168,67
169,64
175,59
161,52
171,64
171,66
169,66
170,70
171,63
166,78
171,67
169,69
177,70
158,56
167,71
166,63
176,65
163,63
161,51
168,60
172,78
156,54
166,61
165,72
165,56
166,55
167,63
167,63
171,60
165,61
160,50
157,53
165,66
166,60
157,56
165,59
165,63
160,61
166,62
168,70
186,72
171,65
170,73
170,65
167,65
169,61
168,64
162,56
178,66
176,78
161,56
171,70
159,57
168,70
167,67
178,62
169,62
163,68
169,66
170,68
187,63
174,66
162,57
165,63
164,60
173,77
162,58
179,63
162,65
166,63
176,70
175,77
155,51
161,64
188,75
165,61
165,67
164,59
171,64
169,59
171,62
163,64
171,65
172,67
165,60
170,63
173,66
169,67
169,58
167,64
162,58
170,63
175,75
175,69
170,65
168,55
185,82
166,58
161,63
176,67
179,71
167,63
163,54
167,57
179,78
180,76
166,57
171,59
163,60
180,84
179,77
176,77
164,60
168,63
174,75
170,65
162,61
157,60
157,59
177,72
161,55
148,48
168,66
176,70
166,71
169,62
168,67
176,70
167,75
159,48
164,53
181,77
165,61
171,66
159,61
174,70
160,57
169,65
167,63
170,65
161,58
174,74
178,71
168,71
168,67
165,55
173,65
166,55
175,78
158,57
174,65
178,60
170,62
167,61
168,70
161,66
161,60
166,64
169,66
164,68
181,69
165,68
171,65
169,61
168,65
