74,166,57
67,176,71
254,162,60
205,156,52
488,167,61
170,166,62
313,168,54
478,168,71
221,165,68
98,170,61
161,169,62
459,166,71
39,164,70
446,176,77
222,167,62
402,179,63
26,163,59
127,163,58
234,167,66
377,170,73
80,163,58
366,157,53
256,164,65
267,180,73
413,171,64
207,174,79
159,161,51
264,166,67
57,165,64
9,156,54
129,161,66
414,169,59
356,156,54
447,164,60
172,169,64
20,155,61
472,169,65
8,170,68
107,167,59
241,176,62
384,176,78
4,175,66
69,169,75
42,183,73
385,161,56
55,171,67
11,169,56
204,160,59
85,176,65
103,166,63
202,172,64
325,165,57
415,171,62
403,162,65
227,169,62
320,162,52
111,157,60
27,187,84
489,168,70
421,173,66
242,168,65
364,165,61
206,161,61
174,163,65
178,168,64
124,167,59
416,163,64
445,179,77
119,164,56
327,161,62
467,165,61
417,171,65
73,178,73
316,172,73
28,172,70
87,179,80
369,157,56
247,170,63
92,169,62
243,163,68
153,164,63
96,173,69
461,168,67
108,160,62
387,159,57
154,173,70
257,164,66
43,163,63
354,168,60
33,168,55
419,165,60
346,169,69
150,173,66
160,171,76
203,167,64
106,190,80
191,167,65
279,167,65
185,175,74
226,171,70
83,164,62
435,179,71
79,182,76
84,170,67
395,187,63
134,164,53
303,162,54
428,175,69
34,162,55
144,167,63
277,170,60
451,162,61
179,180,69
473,167,63
341,169,66
291,167,57
326,171,64
448,168,63
155,176,65
438,167,57
297,173,66
219,173,68
192,179,69
208,167,61
230,170,74
258,167,64
260,161,57
213,167,59
89,182,66
355,172,78
436,167,63
480,165,55
156,172,67
128,179,69
295,181,68
115,170,65
36,172,65
7,169,68
474,170,65
376,171,65
157,167,70
253,175,64
99,169,68
126,184,68
265,172,64
443,163,60
82,164,70
109,165,76
432,166,58
479,168,67
335,168,67
165,168,63
487,170,62
75,164,59
196,166,67
123,165,60
120,172,63
449,174,75
368,166,60
138,170,61
13,171,66
245,164,61
86,163,57
285,159,55
65,172,59
194,173,69
404,166,63
425,162,58
497,171,65
348,158,56
209,174,66
301,165,57
351,176,65
81,169,67
210,167,56
439,179,78
498,169,61
90,169,73
424,167,64
211,168,50
130,162,55
405,176,70
220,173,71
276,171,63
261,174,74
365,160,50
273,176,70
171,172,67
235,156,58
149,161,56
88,176,67
218,174,67
217,162,64
251,164,56
484,158,57
91,159,68
197,164,59
493,169,66
125,173,72
238,167,60
